project_id,location_type,terrain,climate,soil_type,construction_season,road_length_km,road_width_m,num_workers,dist_supplier_km,num_bridges,num_culverts,total_cost_KES_M
KE-RD-029,Peri-Urban,Rolling,Humid,Rocky,Dry,6.04,7.0,309,31.3,5,18,459.785
KE-RD-030,Peri-Urban,Rolling,Arid,Clay,Rainy,45.0,6.0,213,133.9,3,3,2237.74
KE-RD-031,Urban,Mountainous,Semi-Arid,Loam,Dry,48.82,7.0,241,24.6,5,13,4038.73
KE-RD-032,Urban,Rolling,Highland,Loam,Dry,19.44,6.0,270,141.2,7,11,1619.668
KE-RD-033,Rural,Rolling,Arid,Loam,Rainy,16.75,6.0,172,217.2,8,12,1541.354
KE-RD-034,Urban,Hilly,Arid,Sandy,Rainy,9.34,8.0,49,74.0,6,11,873.067
KE-RD-035,Peri-Urban,Mountainous,Arid,Rocky,Dry,13.11,10.0,30,316.8,8,6,1565.391
KE-RD-036,Rural,Hilly,Highland,Sandy,Rainy,25.6,10.0,197,247.4,4,17,1898.402
KE-RD-037,Peri-Urban,Mountainous,Semi-Arid,Clay,Rainy,27.62,6.0,185,179.3,6,18,2525.904
KE-RD-038,Peri-Urban,Mountainous,Humid,Rocky,Dry,25.8,7.0,367,60.0,8,20,2997.197
KE-RD-039,Rural,Rolling,Highland,Loam,Dry,7.79,6.0,155,590.5,1,14,294.082
KE-RD-040,Urban,Rolling,Humid,Rocky,Rainy,12.58,6.0,84,469.3,3,5,844.486
KE-RD-041,Urban,Mountainous,Arid,Loam,Dry,23.09,10.0,371,323.4,8,19,2866.5
KE-RD-042,Peri-Urban,Mountainous,Humid,Loam,Rainy,22.78,7.0,356,173.6,8,15,2573.928
KE-RD-043,Peri-Urban,Mountainous,Arid,Clay,Dry,13.95,8.0,306,57.5,2,7,809.072
KE-RD-044,Rural,Rolling,Arid,Rocky,Rainy,16.88,10.0,242,46.7,6,12,1610.759
KE-RD-045,Urban,Flat,Humid,Rocky,Dry,47.17,8.0,229,513.5,6,17,4619.585
KE-RD-046,Urban,Rolling,Humid,Loam,Rainy,22.07,6.0,229,208.3,6,5,1836.751
KE-RD-047,Rural,Flat,Humid,Sandy,Dry,32.32,7.0,266,117.2,4,12,1734.468
KE-RD-048,Peri-Urban,Hilly,Highland,Rocky,Rainy,37.72,10.0,159,502.6,7,0,4646.426
KE-RD-049,Rural,Hilly,Semi-Arid,Sandy,Dry,37.83,7.0,132,505.1,2,7,1592.023
KE-RD-050,Urban,Flat,Semi-Arid,Rocky,Rainy,38.46,7.0,340,368.3,1,5,1931.634
KE-RD-051,Rural,Flat,Highland,Rocky,Rainy,47.1,7.0,68,359.3,3,3,2599.115
KE-RD-052,Peri-Urban,Flat,Arid,Clay,Rainy,33.25,6.0,289,392.1,0,13,1151.926
KE-RD-053,Rural,Mountainous,Highland,Rocky,Dry,22.06,14.0,363,169.3,8,15,3100.074
KE-RD-054,Urban,Hilly,Highland,Loam,Dry,14.31,10.0,154,452.8,6,10,1345.636
KE-RD-055,Peri-Urban,Rolling,Humid,Loam,Rainy,39.99,8.0,173,529.4,4,17,2736.656
KE-RD-056,Rural,Flat,Semi-Arid,Rocky,Rainy,27.98,7.0,383,290.9,7,14,2615.121
KE-RD-057,Rural,Hilly,Semi-Arid,Rocky,Dry,15.66,14.0,218,289.2,8,11,1841.853
KE-RD-058,Urban,Hilly,Highland,Rocky,Rainy,15.68,7.0,91,435.6,5,3,1525.788
KE-RD-059,Urban,Rolling,Semi-Arid,Loam,Rainy,14.19,14.0,298,362.1,1,6,925.659
KE-RD-060,Peri-Urban,Rolling,Highland,Sandy,Dry,14.08,6.0,313,182.4,2,20,704.371
KE-RD-061,Peri-Urban,Flat,Arid,Clay,Rainy,24.2,8.0,124,579.6,4,15,1650.928
KE-RD-062,Rural,Mountainous,Humid,Sandy,Dry,8.01,14.0,185,60.3,3,3,609.279
KE-RD-063,Peri-Urban,Rolling,Humid,Rocky,Rainy,15.22,14.0,249,190.2,0,19,1165.21
KE-RD-064,Rural,Rolling,Semi-Arid,Clay,Dry,8.27,7.0,312,54.3,0,13,210.269
KE-RD-065,Urban,Mountainous,Highland,Sandy,Dry,14.76,8.0,389,517.2,1,7,1013.281
KE-RD-066,Urban,Rolling,Humid,Sandy,Dry,32.56,8.0,102,52.1,2,9,1560.808
KE-RD-067,Urban,Hilly,Humid,Sandy,Rainy,34.59,10.0,169,305.3,7,14,3710.132
KE-RD-068,Rural,Mountainous,Highland,Clay,Dry,5.02,14.0,330,571.0,4,18,505.621
KE-RD-069,Rural,Mountainous,Humid,Clay,Dry,49.85,10.0,355,490.4,1,15,3125.241
KE-RD-070,Peri-Urban,Hilly,Arid,Loam,Rainy,20.88,10.0,177,400.9,6,17,1938.291
KE-RD-071,Rural,Hilly,Highland,Clay,Dry,48.52,10.0,293,496.7,0,17,2427.372
KE-RD-072,Rural,Rolling,Highland,Rocky,Rainy,38.12,7.0,166,334.0,4,14,2831.204
KE-RD-073,Peri-Urban,Flat,Arid,Loam,Dry,15.88,6.0,312,250.7,3,3,726.523
KE-RD-074,Rural,Rolling,Humid,Clay,Rainy,21.07,10.0,271,153.8,8,4,2101.446
KE-RD-075,Urban,Rolling,Arid,Clay,Rainy,17.32,14.0,166,494.1,4,9,1910.395
KE-RD-076,Urban,Mountainous,Semi-Arid,Rocky,Rainy,17.58,14.0,308,232.6,5,6,2737.406
KE-RD-077,Rural,Mountainous,Semi-Arid,Rocky,Dry,16.25,10.0,391,548.9,6,12,1834.777
KE-RD-078,Urban,Rolling,Humid,Sandy,Dry,25.36,14.0,199,523.1,7,3,2858.656
KE-RD-079,Peri-Urban,Flat,Semi-Arid,Rocky,Dry,4.2,8.0,203,377.7,6,20,334.97
KE-RD-080,Peri-Urban,Mountainous,Highland,Rocky,Dry,31.06,7.0,353,413.8,4,7,2708.817
KE-RD-081,Peri-Urban,Flat,Arid,Rocky,Dry,34.85,6.0,53,201.4,0,9,837.431
KE-RD-082,Peri-Urban,Rolling,Semi-Arid,Rocky,Dry,8.91,6.0,342,523.8,3,15,573.84
KE-RD-083,Rural,Rolling,Humid,Clay,Rainy,13.14,6.0,268,541.7,8,5,1170.825
KE-RD-084,Peri-Urban,Hilly,Humid,Clay,Rainy,42.34,7.0,226,513.5,1,7,2175.415
KE-RD-085,Peri-Urban,Hilly,Highland,Sandy,Rainy,14.09,14.0,381,469.2,0,19,1117.285
KE-RD-086,Peri-Urban,Rolling,Highland,Loam,Dry,31.23,7.0,351,67.3,0,9,926.657
KE-RD-087,Rural,Hilly,Semi-Arid,Sandy,Rainy,16.67,10.0,119,128.5,8,11,1684.535
KE-RD-088,Peri-Urban,Rolling,Highland,Rocky,Rainy,37.45,8.0,88,286.3,1,4,1940.418
KE-RD-089,Rural,Mountainous,Highland,Sandy,Rainy,1.19,14.0,93,278.3,4,18,121.36
KE-RD-090,Urban,Hilly,Arid,Loam,Rainy,1.74,14.0,197,550.0,3,20,171.154
KE-RD-091,Peri-Urban,Hilly,Humid,Sandy,Dry,2.74,6.0,185,597.6,1,3,104.261
KE-RD-092,Urban,Rolling,Humid,Rocky,Rainy,33.69,14.0,244,356.5,2,13,3431.741
KE-RD-093,Peri-Urban,Mountainous,Highland,Sandy,Rainy,11.25,10.0,150,514.7,1,11,825.921
KE-RD-094,Urban,Hilly,Arid,Rocky,Rainy,9.9,6.0,262,64.1,3,20,721.464
KE-RD-095,Rural,Flat,Highland,Loam,Dry,39.46,7.0,65,499.6,8,6,3553.839
KE-RD-096,Rural,Hilly,Semi-Arid,Sandy,Rainy,42.99,7.0,96,328.7,2,3,1915.719
KE-RD-097,Rural,Rolling,Arid,Clay,Dry,29.65,6.0,119,166.6,2,13,1185.533
KE-RD-098,Urban,Flat,Humid,Rocky,Rainy,25.91,6.0,261,307.3,0,16,1008.516
KE-RD-099,Urban,Flat,Arid,Rocky,Rainy,21.6,6.0,281,430.3,7,2,2108.496
KE-RD-100,Peri-Urban,Rolling,Arid,Loam,Rainy,31.4,14.0,310,430.2,6,19,3429.758
KE-RD-101,Peri-Urban,Mountainous,Arid,Sandy,Dry,21.79,7.0,241,210.0,7,12,2021.975
KE-RD-102,Rural,Hilly,Humid,Clay,Rainy,19.03,7.0,381,554.6,1,2,955.056
KE-RD-103,Rural,Mountainous,Arid,Clay,Dry,28.04,14.0,317,341.4,1,13,2034.27
KE-RD-104,Urban,Mountainous,Arid,Clay,Rainy,17.91,14.0,289,135.5,7,7,2931.544
KE-RD-105,Peri-Urban,Hilly,Arid,Clay,Dry,40.46,14.0,348,372.0,8,0,5097.677
KE-RD-106,Urban,Hilly,Arid,Loam,Rainy,35.28,8.0,203,217.1,2,4,2116.911
KE-RD-107,Peri-Urban,Flat,Semi-Arid,Sandy,Dry,37.43,7.0,222,257.7,5,5,2306.478
KE-RD-108,Urban,Hilly,Arid,Sandy,Dry,8.29,14.0,55,407.6,4,14,824.893
KE-RD-109,Peri-Urban,Mountainous,Humid,Clay,Dry,37.87,6.0,206,263.6,4,18,2775.481
KE-RD-110,Urban,Hilly,Arid,Loam,Rainy,49.23,6.0,33,130.6,3,4,2822.885
KE-RD-111,Peri-Urban,Hilly,Arid,Sandy,Rainy,37.48,7.0,96,234.3,3,16,2315.096
KE-RD-112,Urban,Hilly,Arid,Rocky,Dry,22.09,10.0,69,518.6,6,18,2450.736
KE-RD-113,Urban,Mountainous,Highland,Sandy,Rainy,1.53,8.0,117,482.8,7,11,169.104
KE-RD-114,Rural,Rolling,Humid,Rocky,Dry,20.09,8.0,203,140.7,2,2,891.675
KE-RD-115,Rural,Rolling,Highland,Clay,Dry,12.2,7.0,161,126.4,2,20,529.376
KE-RD-116,Urban,Mountainous,Humid,Rocky,Rainy,43.28,8.0,107,269.5,7,14,5644.324
KE-RD-117,Peri-Urban,Flat,Highland,Sandy,Rainy,23.36,6.0,59,227.6,4,2,1300.186
KE-RD-118,Rural,Mountainous,Humid,Sandy,Rainy,45.5,14.0,363,121.1,7,16,5370.664
KE-RD-119,Rural,Mountainous,Arid,Clay,Dry,25.48,7.0,50,156.2,7,14,2318.017
KE-RD-120,Urban,Rolling,Highland,Clay,Rainy,19.68,8.0,377,362.8,5,2,1684.747
